RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ZZPSTRT,wbsElementBasicStartDate,date,str-yyyy-mm-dd-to-date,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,PGSBR,wbsElementBusinessArea,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,PBUKR,wbsElementCompanyCode,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,PKOKR,wbsElementControllingArea,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,PWPOS,wbsElementCurrency,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ZZEENDE,wbsElementForecastFinishDate,date,str-yyyy-mm-dd-to-date,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ZZESTRT,wbsElementForecastStartDate,date,str-yyyy-mm-dd-to-date,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,POSID,workBreakdownStructureElement,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,PSPEX,workBreakdownStructureElementExternal,String,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
