RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.eam_anla,cleansed.eam_anla,LEGEB,periodicLeasePayment,Float,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ERNAM,personNameCreatedObject,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,PERNR,personnelNumber,String,,,
raw.eam_anla,cleansed.eam_anla,GPLAB,plannedRetirementDate,Date,str-yyyy-mm-dd-to-date,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,GPLAB,plannedRetirementDate,Date,str-yyyy-mm-dd-to-date,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,WERKS,plant,String,,,
raw.eam_anla,cleansed.eam_anla,FLURN,plotNumber,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ZUGDT,PostingDateAssetValue,Date,str-yyyy-mm-dd-to-date,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,PRCTR,profitCenter,String,,,
raw.eam_anla,cleansed.eam_anla,VMGLI,propertyClassificationKey,String,,,
raw.eam_anla,cleansed.eam_anla,EIGKZ,propertyIndicator,String,,,
raw.eam_anla,cleansed.eam_anla,XVERID,propertyValueIndicator,String,flag-x-yes-no,,
raw.eam_anla,cleansed.eam_anla,MENGE,quantity,Float,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,MENGE,quantity,String,,,
raw.eam_anla,cleansed.eam_anla,AIMMO,realEstateIndicator,String,,,
raw.eam_anla,cleansed.eam_anla,IZWEK,reasonForInvestment,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ZZ_REGO_NUMBER,regoNumber,String,,,
raw.eam_anla,cleansed.eam_anla,MCOA1,searchTerm,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,SEGMENT,segment,String,,,
raw.eam_anla,cleansed.eam_anla,SERNR,serialNumber,String,,,
raw.eam_anla,cleansed.eam_anla,ZUAWA,sortingKey,String,,,
raw.eam_anla,cleansed.eam_anla,INVZU,supplementaryInventorySpecifications,String,,,
raw.eam_anla,cleansed.eam_anla,GRUFL,surfaceArea,Float,,,
raw.eam_anla,cleansed.eam_anla,EHWNR,taxAssessmentNumber,String,,,
raw.eam_anla,cleansed.eam_anla,GEGST,technicalAssetNumber,String,,,
raw.eam_anla,cleansed.eam_anla,XTCHID,technicalViewTextIndicator,String,flag-x-yes-no,,
raw.eam_anla,cleansed.eam_anla,HAS_TDDP,timeDependentValuation,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ZZ_TMF_INSURANCE,tmfInsurance,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ZZ_E_DEV_TOTAL_ASSET_COST,totalAssetCost,String,,,
raw.eam_anla,cleansed.eam_anla,LKUZI,totalLeaseInterestPosted,Float,,,
raw.eam_anla,cleansed.eam_anla,LKUZA,totalLeasePaymentsPosted,Float,,,
raw.eam_anla,cleansed.eam_anla,VBUND,tradingPartnerID,String,,,
raw.eam_anla,cleansed.eam_anla,MEINS,unitOfMeasure,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,DATEFROM,validFromDate,Date,str-yyyy-mm-dd-to-date,,
raw.eam_anla,cleansed.eam_anla,LIFNR,vendorAccountNumber,String,,,
raw.eam_anla,cleansed.eam_anla,XV0DT,view0ChangeDate,Date,str-yyyy-mm-dd-to-date,,
raw.eam_anla,cleansed.eam_anla,XV0NM,view0changedBy,String,,,
raw.eam_anla,cleansed.eam_anla,XV1DT,view1ChangeDate,Date,str-yyyy-mm-dd-to-date,,
raw.eam_anla,cleansed.eam_anla,XV1NM,view1changedBy,String,,,
raw.eam_anla,cleansed.eam_anla,XV2DT,view2ChangeDate,Date,str-yyyy-mm-dd-to-date,,
raw.eam_anla,cleansed.eam_anla,XV2NM,view2changedBy,String,,,
raw.eam_anla,cleansed.eam_anla,XV3DT,view3ChangeDate,Date,str-yyyy-mm-dd-to-date,,
raw.eam_anla,cleansed.eam_anla,XV3NM,view3changedBy,String,,,
raw.eam_anla,cleansed.eam_anla,XV4DT,view4ChangeDate,date,str-yyyy-mm-dd-to-date,,
raw.eam_anla,cleansed.eam_anla,XV4NM,view4changedBy,String,,,
raw.eam_anla,cleansed.eam_anla,XV5DT,view5ChangeDate,date,str-yyyy-mm-dd-to-date,,
raw.eam_anla,cleansed.eam_anla,XV5NM,view5changedBy,String,,,
raw.eam_anla,cleansed.eam_anla,XV6DT,view6ChangeDate,date,str-yyyy-mm-dd-to-date,,
raw.eam_anla,cleansed.eam_anla,XV6NM,view6changedBy,String,,,
raw.eam_anla,cleansed.eam_anla,POSNR,wbsElement,Integer,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,POSID,wbsElementStructure,String,,,
,,,,,,,
