current_database_name,current_table_name,future_database_name,future_table_name
curated,viewfactpreventivemaintenance,fact,preventivemaintenancecurrent
curated,viewfactwaternetworkdemand,water_balance,factwaternetworkdemand
curated,viewfactwaternetworkdemandwithexports,water_balance,factwaternetworkdemandwithexports
curated,viewfactworkordercurrent,fact,workordercurrent
curated,viewfactworkorderfailurereport,fact,workorderfailurereportcurrent
curated,viewinstallation,water_consumption,viewinstallation
curated,viewmanualdemand,water_balance,manualdemand
curated,viewproperty,water_consumption,viewproperty
curated,viewpropertykey,water_balance,propertykey
curated,viewpropertyrelation,water_consumption,viewpropertyrelation
curated,viewpropertyservice,water_consumption,viewpropertyservice
curated,viewrefassetperformanceassettypeclass,asset_performance,referenceAssetTypeClass
curated,viewrefassetperformanceservicetype,asset_performance,referenceServiceType
curated,viewrefassetperformanceworktype,asset_performance,referenceWorkType
curated,viewswcdemand,water_balance,swcdemand
curated,viewswirlallincidentsandevents,asset_performance,swirlallincidentsandevents
curated,viewswirlallincidentsandeventsexcludepersonal,asset_performance,swirlallincidentsandeventsexcludepersonal
curated,viewswirlbypassandreportableincidents,asset_performance,swirlbypassandreportableincidents
curated,viewswirllicencenoncompliance,asset_performance,swirllicencenoncompliance
curated,viewswirlnetworkincident,asset_performance,swirlnetworkincident
curated,viewswirlopenaction,asset_performance,swirlopenaction
curated,viewswirlopenactionexcludepersonal,asset_performance,swirlopenactionexcludepersonal
curated,viewswirlopenincident,asset_performance,swirlopenincident
curated,viewswirlopenincidentexcludepersonal,asset_performance,swirlopenincidentexcludepersonal
curated,viewsystemexportvolume,water_balance,systemexportvolume
curated,viewunmeteredconsumptionpropertytype,water_balance,unmeteredconsumptionpropertytype
curated,viewunmeteredconsumptionsystemlevel,water_balance,unmeteredconsumptionsystemlevel
curated,viewunmeteredconsumptionwaternetwork,water_balance,unmeteredconsumptionwaternetwork
curated,viewAssetKeyPerformanceMeasures,asset_performance,assetKeyPerformanceMeasures
curated,viewancestorlocationhierarchypivot,asset_performance,assetlocationancestorhierarchypivotcurrent
