RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.fin_coss,cleansed.fin_coss,WTG015,totalValueTransactionCurrency15,Float,,,
raw.fin_cosp,cleansed.fin_cosp,WTG015,totalValueTransactionCurrency15,Float,,,
raw.fin_coss,cleansed.fin_coss,WTG016,totalValueTransactionCurrency16,Float,,,
raw.fin_cosp,cleansed.fin_cosp,WTG016,totalValueTransactionCurrency16,Float,,,
raw.fin_coss,cleansed.fin_coss,WTG002,totalValueTransactionCurrency2,Float,,,
raw.fin_cosp,cleansed.fin_cosp,WTG002,totalValueTransactionCurrency2,Float,,,
raw.fin_coss,cleansed.fin_coss,WTG003,totalValueTransactionCurrency3,Float,,,
raw.fin_cosp,cleansed.fin_cosp,WTG003,totalValueTransactionCurrency3,Float,,,
raw.fin_coss,cleansed.fin_coss,WTG004,totalValueTransactionCurrency4,Float,,,
raw.fin_cosp,cleansed.fin_cosp,WTG004,totalValueTransactionCurrency4,Float,,,
raw.fin_coss,cleansed.fin_coss,WTG005,totalValueTransactionCurrency5,Float,,,
raw.fin_cosp,cleansed.fin_cosp,WTG005,totalValueTransactionCurrency5,Float,,,
raw.fin_coss,cleansed.fin_coss,WTG006,totalValueTransactionCurrency6,Float,,,
raw.fin_cosp,cleansed.fin_cosp,WTG006,totalValueTransactionCurrency6,Float,,,
raw.fin_coss,cleansed.fin_coss,WTG007,totalValueTransactionCurrency7,Float,,,
raw.fin_cosp,cleansed.fin_cosp,WTG007,totalValueTransactionCurrency7,Float,,,
raw.fin_coss,cleansed.fin_coss,WTG008,totalValueTransactionCurrency8,Float,,,
raw.fin_cosp,cleansed.fin_cosp,WTG008,totalValueTransactionCurrency8,Float,,,
raw.fin_coss,cleansed.fin_coss,WTG009,totalValueTransactionCurrency9,Float,,,
raw.fin_cosp,cleansed.fin_cosp,WTG009,totalValueTransactionCurrency9,Float,,,
raw.fin_cosp,cleansed.fin_cosp,PARGB,tradingPartnerBusinessArea,String,,,
raw.fin_cosp,cleansed.fin_cosp,VBUND,tradingPartnerID,String,,,
raw.fin_0gl_account_attr,cleansed.fin_0gl_account_attr,VBUND,tradingPartnerID,String,,,
raw.fin_coss,cleansed.fin_coss,TWAER,transactionCurrency,String,,,
raw.fin_cosp,cleansed.fin_cosp,TWAER,transactionCurrency,String,,,
raw.fin_cobra,cleansed.fin_cobra,ERSCH,transferStructure,String,,,
raw.fin_cosp,cleansed.fin_cosp,MEINH,unitMeasure,String,,,
raw.fin_cobrb,cleansed.fin_cobrb,BEINH,unitOfMeasure,String,,,
raw.fin_cobra,cleansed.fin_cobra,GEINH,unitOfMeasure,String,,,
raw.fin_coss,cleansed.fin_coss,MEINH,unitOfMeasure,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,VERAK_USER,userResponsible,String,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,DATEFROM,validFromDate,date,str-yyyy-mm-dd-to-date,,
raw.fin_0profit_ctr_text,cleansed.fin_0profit_ctr_text,DATEFROM,validFromDate,date,str-yyyy-mm-dd-to-date,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,DATEFROM,validFromDate,Date,str-yyyy-mm-dd-to-date,,
raw.fin_0costcenter_text,cleansed.fin_0costcenter_text,DATEFROM,validFromDate,date,str-yyyy-mm-dd-to-date,,
raw.fin_0costelmnt_text,cleansed.fin_0costelmnt_text,DATEFROM,validFromDate,date,str-yyyy-mm-dd-to-date,,
raw.fin_cobrb,cleansed.fin_cobrb,GABPE,validFromPeriod,Integer,,,
raw.fin_cobrb,cleansed.fin_cobrb,GABJA,validFromYear,Integer,,,
raw.fin_cobrb,cleansed.fin_cobrb,GBISP,validTo,Integer,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,DATETO,validToDate,date,str-yyyy-mm-dd-to-date,,
raw.fin_0profit_ctr_text,cleansed.fin_0profit_ctr_text,DATETO,validToDate,date,str-yyyy-mm-dd-to-date,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,DATETO,validToDate,Date,str-yyyy-mm-dd-to-date,,
raw.fin_0costcenter_text,cleansed.fin_0costcenter_text,DATETO,validToDate,date,str-yyyy-mm-dd-to-date,,
raw.fin_0costelmnt_text,cleansed.fin_0costelmnt_text,DATETO,validTodate,date,str-yyyy-mm-dd-to-date,,
raw.fin_cobrb,cleansed.fin_cobrb,GBISJ,validToYear,Integer,,,
raw.fin_cobrb,cleansed.fin_cobrb,BWTAR,valuationType,String,,,
raw.fin_coss,cleansed.fin_coss,WRTTP,valueType,String,,,
raw.fin_cosp,cleansed.fin_cosp,WRTTP,valueType,String,,,
raw.fin_cobrb,cleansed.fin_cobrb,VERSN,version,String,,,
raw.fin_coss,cleansed.fin_coss,VERSN,version,String,,,
raw.fin_cosp,cleansed.fin_cosp,VERSN,version,String,,,
raw.fin_0version_text,cleansed.fin_0version_text,VERSI,version,String,,,
raw.fin_cobrb,cleansed.fin_cobrb,PS_PSP_PNR,workBreakdownStructure,Integer,,,
raw.fin_cobrb,cleansed.fin_cobrb,ERSJA,yearFirstUsed,Integer,,,
raw.fin_cobrb,cleansed.fin_cobrb,LETJA,yearLastUsed,Integer,,,
raw.fin_cobra,cleansed.fin_cobra,LETJA,yearLastUsed,Integer,,,
,,,,,,,
