RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,FROMDATE,activityFromDatetime,Timestamp,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,TODATE,activityToDatetime,Timestamp,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,STAT_OPEN,statusOpen,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,SALES_ORG_RESP,salesResponsibleOrginsation,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,STATUS,statusCode,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,USER_STAT_PROC,statusProfile,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,USER_STAT_PROC,status,String,,,lookup-crm-status-text
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,ACT_TOT_DURA,activityTotalDuration,Double,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,ACT_TOT_UNIT,activityTotalUnit,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,RESP_AT_PARTNER,responsibleAtPartner,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CHANNEL_PARTNER,channelPartnerNumber,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CP_PROGRAM,channelPartnerProgram,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CP_TYPE,channelPartnerType,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CP_STATUS,channelPartnerStatus,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,PATH_ID,territoryHierarchyId,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,TERR_ID,territoryId,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,SALES_ORG,salesOrginisationUnit,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,SALES_OFFICE,salesOfficeUnit,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,SALES_GROUP,salesGroupUnit,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CODE_ACT_ST,activityCode,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CODEGRP_ACT_ST,activityGroupCode,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,KATART_ACT_ST,Catalog,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CATLVLGUID01_IR,categoryLevel1GUID,String,,,
