RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.aurion_employee_history,cleansed.aurion_employee_history,UserID,userId,string,,,
raw.aurion_employee_history,cleansed.aurion_employee_history,Salutation,salutation,string,,,
raw.aurion_employee_history,cleansed.aurion_employee_history,Surname,surname,string,,,
raw.aurion_employee_history,cleansed.aurion_employee_history,GivenNames,givenNames,string,,,
raw.aurion_employee_history,cleansed.aurion_employee_history,PreferredName,preferredName,string,,,
raw.aurion_employee_history,cleansed.aurion_employee_history,EmployeeStatus,employeeStatus,string,,,
raw.aurion_employee_history,cleansed.aurion_employee_history,DateCommenced,dateCommenced,date,str-dd-MMM-yyyy-to-date,,
raw.aurion_employee_history,cleansed.aurion_employee_history,DateEffective,dateEffective,date,str-dd-MMM-yyyy-to-date,,
raw.aurion_employee_history,cleansed.aurion_employee_history,DateTo,dateTo,date,,"nvl(to_date(right(concat('0',DateTo),11),'dd-MMM-yyyy') ,to_date('31-dec-9999','dd-MMM-yyyy'))",
raw.aurion_employee_history,cleansed.aurion_employee_history,DateTerminated,dateTerminated,date,str-dd-MMM-yyyy-to-date,,
raw.aurion_employee_history,cleansed.aurion_employee_history,PositionNumber,positionNumber,string,,,
raw.aurion_employee_history,cleansed.aurion_employee_history,PositionTitle,positionTitle,string,,,
raw.aurion_employee_history,cleansed.aurion_employee_history,PlacementType,placementType,string,,,
raw.aurion_employee_history,cleansed.aurion_employee_history,EmploymentTypeCode,employmentTypeCode,string,,,
raw.aurion_employee_history,cleansed.aurion_employee_history,AttendanceTypeCode,attendanceTypeCode,string,,,
raw.aurion_employee_history,cleansed.aurion_employee_history,MovementCode,movementCode,string,,,
raw.aurion_employee_history,cleansed.aurion_employee_history,MovementDesc,movementDesc,string,,,
raw.aurion_employee_history,cleansed.aurion_employee_history,ReportstoPosition,reportsToPosition,string,,,
raw.aurion_employee_history,cleansed.aurion_employee_history,OrganisationUnitNumber,organisationUnitNumber,string,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
