RawTable,CleansedTable,RawColumnName,DataType,CleansedColumnName,TransformTag,CustomTransform,Lookup
raw.sharepointlistedp_demandcalculationadjustment,cleansed.sharepointlistedp_demandcalculationadjustment,ReportDate,date,reportDate,,,
raw.sharepointlistedp_demandcalculationadjustment,cleansed.sharepointlistedp_demandcalculationadjustment,DeliverySystemValue,inherit,deliverySystem,,,
raw.sharepointlistedp_demandcalculationadjustment,cleansed.sharepointlistedp_demandcalculationadjustment,DemandValue,inherit,demandQuantity,,,
raw.sharepointlistedp_demandcalculationadjustment,cleansed.sharepointlistedp_demandcalculationadjustment,Modified,inherit,calendarDate,,,
raw.sharepointlistedp_demandcalculationadjustment,cleansed.sharepointlistedp_demandcalculationadjustment,Created,inherit,createdDate,,,
raw.sharepointlistedp_demandcalculationadjustment,cleansed.sharepointlistedp_demandcalculationadjustment,CreatedById,inherit,createdById,,,
raw.sharepointlistedp_demandcalculationadjustment,cleansed.sharepointlistedp_demandcalculationadjustment,Comment,inherit,commentText,,,
